name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
YUELUYU51031,412473355,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueluyu51031-mmsi-412473355
YUELUYU5504242,412444042,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueluyu5504242-mmsi-412444042
YUELUYU55388,412473931,-,-,Fishing / FISHING,-,-,25 m,-,-,China,https://magicport.ai/vessels/fishing/yueluyu55388-mmsi-412473931
YUELUYU55888,412461262,-,55888,Fishing / FISHING,-,-,34 m,-,-,China,https://magicport.ai/vessels/fishing/yueluyu55888-mmsi-412461262
YUEMAOBING47322 2,413473222,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobing47322-2-mmsi-413473222
YUEMAOBINYU11073,412538795,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu11073-mmsi-412538795
YUEMAOBINYU11126,412538395,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu11126-mmsi-412538395
YUEMAOBINYU11184,412538385,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu11184-mmsi-412538385
YUEMAOBINYU12056,412537988,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu12056-mmsi-412537988
YUEMAOBINYU12090,412538602,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu12090-mmsi-412538602
YUEMAOBINYU14014,412538077,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14014-mmsi-412538077
YUEMAOBINYU14016,412538457,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14016-mmsi-412538457
YUEMAOBINYU14030,412538089,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14030-mmsi-412538089
YUEMAOBINYU14047,412537405,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14047-mmsi-412537405
YUEMAOBINYU14055,412537924,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14055-mmsi-412537924
YUEMAOBINYU14096,412537457,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14096-mmsi-412537457
YUEMAOBINYU14098,412538418,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14098-mmsi-412538418
YUEMAOBINYU14114,412538195,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14114-mmsi-412538195
YUEMAOBINYU14143,412537835,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu14143-mmsi-412537835
YUEMAOBINYU15035,412537016,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu15035-mmsi-412537016
YUEMAOBINYU15059,412538489,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu15059-mmsi-412538489
YUEMAOBINYU15064,412538452,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu15064-mmsi-412538452
YUEMAOBINYU15106,412537824,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu15106-mmsi-412537824
YUEMAOBINYU15126,412538372,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu15126-mmsi-412538372
YUEMAOBINYU16027,412537947,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu16027-mmsi-412537947
YUEMAOBINYU17008,412537395,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu17008-mmsi-412537395
YUEMAOBINYU18097,412537985,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu18097-mmsi-412537985
YUEMAOBINYU18146,412538036,-,0018146,Fishing / FISHING,-,-,6 m,-,-,China,https://magicport.ai/vessels/fishing/yuemaobinyu18146-mmsi-412538036
YUEMAOBINYU41002,412529829,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu41002-mmsi-412529829
YUEMAOBINYU46559,412463586,-,-,Fishing / FISHING,-,-,35 m,-,-,China,https://magicport.ai/vessels/fishing/yuemaobinyu46559-mmsi-412463586
YUEMAOBINYU55184,412479132,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemaobinyu55184-mmsi-412479132
YUEMAOGANGYU92366,412468618,-,-,Fishing / FISHING,-,-,27 m,-,-,China,https://magicport.ai/vessels/fishing/yuemaogangyu92366-mmsi-412468618
YUEMAYU60133,412463631,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuemayu60133-mmsi-412463631
YUENANAO000000031976,894550,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanao000000031976-mmsi-894550
YUENANAO12345,600938122,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanao12345-mmsi-600938122
YUENANAO159,107699159,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanao159-mmsi-107699159
YUENANAO30550,600938118,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanao30550-mmsi-600938118
YUENANAO32708,600938117,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuenanao32708-mmsi-600938117
